"Timestamp","Staff ID","Action","Category","Post ID","Notes"
"2026-06-03T06:02:18.561182+00:00","","POST_MARKED_RETURNED","Returns","c4343ce8-316a-46eb-858b-52b703a13ddc","status: Returned · returned_at: 2026-06-03T06:02:18.413Z"
"2026-06-03T06:01:54.156673+00:00","","POST_MARKED_RETURNED","Returns","c4fe5d9e-96a3-44c0-9417-ebdada638a99","status: Returned · returned_at: 2026-06-03T06:01:53.503Z"
"2026-06-03T06:00:11.958925+00:00","3bd6dd8f-b136-4006-84e8-e4706b9e0b90","REPORTS_DISMISSED","Other Activity","3d7229b1-82c7-4121-b298-ead331772749","dismissed_by: 3bd6dd8f-b136-4006-84e8-e4706b9e0b90"
"2026-06-03T05:57:09.463985+00:00","3bd6dd8f-b136-4006-84e8-e4706b9e0b90","POST_DELETED_BY_ADMIN","Deleted Items","4203aee4-d5c9-45ac-afe2-6e935496e8be","status: Purged · deleted_by: 3bd6dd8f-b136-4006-84e8-e4706b9e0b90 · deletion_reason: Contains fake images."
